0,1995-01-01,112
1,1995-02-01,118
2,1995-03-01,132
3,1995-04-01,129
4,1995-05-01,121
5,1995-06-01,135
6,1995-07-01,148
7,1995-08-01,148
8,1995-09-01,136
9,1995-10-01,119
10,1995-11-01,104
11,1995-12-01,118
12,1996-01-01,115
13,1996-02-01,126
14,1996-03-01,141
15,1996-04-01,135
16,1996-05-01,125
17,1996-06-01,149
18,1996-07-01,170
19,1996-08-01,170
20,1996-09-01,158
21,1996-10-01,133
22,1996-11-01,114
23,1996-12-01,140
24,1997-01-01,145
25,1997-02-01,150
26,1997-03-01,178
27,1997-04-01,163
28,1997-05-01,172
29,1997-06-01,178
30,1997-07-01,199
31,1997-08-01,199
32,1997-09-01,184
33,1997-10-01,162
34,1997-11-01,146
35,1997-12-01,166
36,1998-01-01,171
37,1998-02-01,180
38,1998-03-01,193
39,1998-04-01,181
40,1998-05-01,183
41,1998-06-01,218
42,1998-07-01,230
43,1998-08-01,242
44,1998-09-01,209
45,1998-10-01,191
46,1998-11-01,172
47,1998-12-01,194
48,1999-01-01,196
49,1999-02-01,196
50,1999-03-01,236
51,1999-04-01,235
52,1999-05-01,229
53,1999-06-01,243
54,1999-07-01,264
55,1999-08-01,272
56,1999-09-01,237
57,1999-10-01,211
58,1999-11-01,180
59,1999-12-01,201
60,2000-01-01,204
61,2000-02-01,188
62,2000-03-01,235
63,2000-04-01,227
64,2000-05-01,234
65,2000-06-01,264
66,2000-07-01,302
67,2000-08-01,293
68,2000-09-01,259
69,2000-10-01,229
70,2000-11-01,203
71,2000-12-01,229
72,2001-01-01,242
73,2001-02-01,233
74,2001-03-01,267
75,2001-04-01,269
76,2001-05-01,270
77,2001-06-01,315
78,2001-07-01,364
79,2001-08-01,347
80,2001-09-01,312
81,2001-10-01,274
82,2001-11-01,237
83,2001-12-01,278
84,2002-01-01,284
85,2002-02-01,277
